video_id,cvt_per_day,weighted_categorical_position,weighted_horizontal_poition,import_id,release_year,genres,imdb_votes,budget,boxoffice,imdb_rating,duration_in_mins,metacritic_score,awards,mpaa,star_category
301152,35053.26491,2,6,mgm,1993,"Drama,Crime,Horror,Thriller",43586,9000000,2395231,6.699999809,118.25,49,other award,R,2.6625
332925,34685.12746,3,8,lionsgate,2013,"Crime,Drama,Thriller",15513,25500000,41229,6.5,128.6371,45,no award,R,1.743137255
393887,34508.66879,16,7,mgm,1987,"Comedy,Drama",0,0,0,0,94.1881,0,no award,R,2.9
358575,34223.49668,4,18,mgm,1988,"Drama,Crime,Documentary",69995,15000000,34603943,7.800000191,126.89217,65,Oscar,R,3.15
348457,33921.65303,3,13,mgm,2014,"Horror,Mystery,Thriller",10602,1500000,8551228,5.599999905,86.05549995,47,other award,R,1.340625
300244,32755.63044,4,8,lionsgate,2011,Drama,45302,7000000,382946,7.099999905,106,45,other award,R,1.513333333
283943,32564.06992,3,17,lionsgate,2010,Action,5372,2300000,8551228,5.199999809,97.1195,57,no award,R,1.475
385503,32235.67392,2,5,lionsgate,2014,"Comedy,Drama",18131,1500000,8551228,5.699999809,83.74015,21,no award,R,2.975
345995,32166.75497,15,1,mgm,2004,"Comedy,Drama",493,0,0,5.099999905,90.578,0,no award,R,1
289780,32002.41191,4,11,lionsgate,2009,"Romance,Drama",8534,1500000,8551228,6.300000191,92.1,57,no award,PG-13,1.625
307762,31068.84794,5,7,lionsgate,2011,"Action,Adventure,Romance",93144,75000000,20315324,5.800000191,110.4361833,35,other award,PG-13,2.478571429
389495,30585.92525,3,22,mgm,2008,Comedy,4078,1500000,8551228,3.799999952,85.94035,57,other award,PG,1.063636364
321251,30384.18999,3,15,other,2013,"Comedy,Horror",7677,2500000,4980,4.800000191,93.98591667,41,no award,R,1.85
372427,30382.39481,2,21,other,2010,"Action,Adventure",4501,1500000,8551228,5.199999809,93.82448333,57,other award,R,2.05
308317,29813.11273,7,11,lionsgate,2010,"Animation,Action,Adventure,Fantasy,Sci-Fi",9385,1500000,8551228,6.800000191,81.12175,57,no award,PG-13,1
343312,29660.14518,3,8,lionsgate,1995,"Horror,Comedy,Fantasy",6569,2000000,2260622,4.400000095,85.423112,57,no award,R,1.176470588
394073,29581.91784,4,10,mgm,1986,Comedy,0,0,0,0,110.3019686,0,Golden Globe,PG,2.811111111
385509,29336.95239,4,6,lionsgate,2001,"Thriller,Drama",3508,1500000,8551228,8.300000191,146.81155,57,no award,R,1.443137255
361902,28805.26178,2,8,other,2011,"Drama,War",13955,10000000,7691700,7.5,102.4357691,59,other award,PG-13,2.5
348455,28581.78776,4,16,mgm,1985,"Comedy,Fantasy",36601,1500000,8551228,6,92.35833055,25,no award,PG,3
300158,28312.46393,6,16,lionsgate,1998,"Crime,Drama",7348,3000000,9630169,5.900000095,95.8,57,other award,R,1.714285714
312423,28269.212,3,11,mgm,2003,"Crime,Drama,Thriller",47874,50000000,40905277,6.5,105.42235,63,other award,PG-13,2.666666667
317482,28014.21259,3,9,mgm,1983,"Drama,Action,Crime",8378,5000000,12200000,6.300000191,108.06715,57,no award,PG,1.5
318759,27984.94992,3,6,mgm,1987,"Thriller,Crime,Drama,Horror",43586,9000000,2395231,6.699999809,118.32795,49,other award,R,3
302489,27821.22551,6,8,lionsgate,2008,"Romance,Comedy,Fantasy",52506,15000000,10011274,6.800000191,89.48333333,48,no award,PG,2.908333333
390870,27540.87862,2,7,mgm,2006,Drama,14787,1500000,8551228,6.699999809,101.53235,51,no award,R,1.890909091
303172,27406.04282,7,9,paramount,2011,"Comedy,Drama",67649,12000000,16300302,6.300000191,93.64918333,71,Golden Globe,R,2.325
348094,27166.6946,3,13,lionsgate,2014,"Comedy,Horror,Sci-Fi",16757,1500000,8551228,5.699999809,88.03217107,49,other award,R,2.36
300846,27155.90558,4,14,lionsgate,1986,"Action,Thriller,Mystery,Horror,Sci-Fi,Romance",11253,2700000,3500000,5.900000095,92.90138333,57,no award,PG-13,2.0875
376133,27110.85637,4,23,lionsgate,2007,"Comedy,Horror",35967,1500000,8551228,5.400000095,93.79275,57,other award,R,1.166666667
308319,27110.11923,4,23,lionsgate,2014,Horror,4177,1500000,8551228,4.800000191,90.21108333,57,other award,R,1
